CustomerID,Total_Revenue,Customer_Segment
14646.0,280206.02,High Value
18102.0,259657.3,High Value
17450.0,194390.79,High Value
16446.0,168472.5,High Value
14911.0,143711.17,High Value
12415.0,124914.53,High Value
14156.0,117210.08,High Value
17511.0,91062.38,High Value
16029.0,80850.84,High Value
12346.0,77183.6,High Value
16684.0,66653.56,High Value
14096.0,65164.79,High Value
13694.0,65039.62,High Value
15311.0,60632.75,Medium Value
13089.0,58762.08,Medium Value
17949.0,58510.48,Medium Value
15769.0,56252.72,Medium Value
15061.0,54534.14,Medium Value
14298.0,51527.3,Medium Value
14088.0,50491.81,Medium Value
15749.0,44534.3,Medium Value
12931.0,42055.96,Medium Value
17841.0,40519.84,Medium Value
15098.0,39916.5,Medium Value
13798.0,37153.85,Medium Value
16013.0,37130.6,Medium Value
16422.0,34684.4,Medium Value
15838.0,33643.08,Medium Value
12748.0,33053.19,Medium Value
17404.0,31906.82,Medium Value
17389.0,31833.68,Medium Value
13098.0,28882.44,Medium Value
14680.0,28754.11,Medium Value
13081.0,28337.38,Medium Value
13408.0,28117.04,Medium Value
17857.0,26879.04,Medium Value
16333.0,26626.8,Medium Value
13777.0,25977.16,Medium Value
12753.0,21429.39,Medium Value
12744.0,21279.29,Medium Value
16210.0,21086.3,Medium Value
17675.0,20374.28,Medium Value
17381.0,20275.61,Medium Value
12471.0,19788.65,Medium Value
15039.0,19766.59,Medium Value
12731.0,18895.91,Medium Value
15159.0,18641.010000000002,Medium Value
12901.0,17654.54,Medium Value
12678.0,17628.46,Medium Value
14031.0,17286.86,Medium Value
17428.0,17256.85,Medium Value
13767.0,17220.36,Medium Value
13881.0,17159.52,Medium Value
16839.0,16594.35,Medium Value
12921.0,16587.09,Medium Value
17677.0,16345.38,Medium Value
15189.0,16225.39,Medium Value
14607.0,16209.5,Medium Value
15856.0,16143.64,Medium Value
14051.0,15610.390000000001,Medium Value
15513.0,14758.220000000001,Medium Value
16133.0,14589.04,Medium Value
14866.0,14389.9,Medium Value
16705.0,14034.99,Medium Value
12681.0,13787.54,Medium Value
12621.0,13689.67,Medium Value
12540.0,13400.24,Medium Value
12433.0,13375.87,Medium Value
15498.0,13316.4,Medium Value
12477.0,13219.74,Medium Value
17735.0,13110.02,Medium Value
16525.0,13027.45,Medium Value
14258.0,12669.98,Medium Value
13078.0,12627.94,Medium Value
12536.0,12601.830000000002,Medium Value
15640.0,12416.11,Medium Value
16000.0,12393.7,Medium Value
17340.0,12353.29,Medium Value
12682.0,12279.82,Medium Value
13113.0,12245.960000000001,Medium Value
14606.0,12076.15,Medium Value
12557.0,11990.960000000001,Medium Value
12939.0,11581.8,Medium Value
15125.0,11528.48,Medium Value
14194.0,11349.52,Medium Value
12971.0,11189.91,Medium Value
14895.0,11138.710000000001,Medium Value
12409.0,11072.67,Medium Value
17581.0,11025.24,Medium Value
15482.0,10879.76,Medium Value
13319.0,10845.550000000001,Medium Value
17107.0,10797.48,Medium Value
13340.0,10736.48,Medium Value
17139.0,10650.77,Medium Value
16779.0,10611.720000000001,Medium Value
17865.0,10526.32,Medium Value
17706.0,10504.49,Medium Value
15251.0,10484.99,Medium Value
14062.0,10464.85,Medium Value
14769.0,10416.98,Medium Value
15615.0,10399.74,Medium Value
15502.0,10384.93,Medium Value
16180.0,10254.18,Medium Value
16843.0,10196.57,Medium Value
12590.0,9864.26,Medium Value
13199.0,9817.12,Medium Value
13001.0,9785.970000000001,Medium Value
15078.0,9743.11,Medium Value
12709.0,9706.52,Medium Value
13458.0,9646.57,Medium Value
14733.0,9585.91,Medium Value
16523.0,9418.470000000001,Medium Value
12567.0,9401.28,Medium Value
14367.0,9227.82,Medium Value
14667.0,9175.04,Medium Value
18092.0,9068.26,Medium Value
12451.0,9035.52,Medium Value
13969.0,9024.17,Medium Value
13488.0,8968.31,Medium Value
13090.0,8910.82,Medium Value
16033.0,8778.82,Medium Value
17017.0,8694.26,Medium Value
17306.0,8631.31,Medium Value
16656.0,8625.8,Medium Value
17243.0,8540.05,Medium Value
14527.0,8507.13,Medium Value
12683.0,8476.57,Medium Value
18139.0,8438.34,Medium Value
15358.0,8347.2,Medium Value
16558.0,8338.49,Medium Value
14056.0,8152.71,Medium Value
14936.0,8137.02,Medium Value
16672.0,8134.9400000000005,Medium Value
13854.0,8109.5199999999995,Medium Value
14952.0,8099.49,Medium Value
18109.0,8004.92,Medium Value
14796.0,7975.49,Medium Value
12428.0,7956.46,Medium Value
15290.0,7943.22,Medium Value
14849.0,7930.54,Medium Value
12757.0,7834.650000000001,Medium Value
13093.0,7832.47,Medium Value
12435.0,7829.89,Medium Value
13629.0,7792.36,Medium Value
17811.0,7761.82,Medium Value
15044.0,7634.7300000000005,Medium Value
15194.0,7616.53,Medium Value
18172.0,7561.68,Medium Value
13263.0,7436.93,Medium Value
12980.0,7374.900000000001,Medium Value
15465.0,7354.62,Medium Value
17396.0,7330.8,Medium Value
12474.0,7324.09,Medium Value
12583.0,7281.38,Medium Value
13018.0,7277.7,Medium Value
18229.0,7276.900000000001,Medium Value
16729.0,7205.33,Medium Value
16745.0,7180.7,Medium Value
16873.0,7123.62,Medium Value
13324.0,7121.95,Medium Value
16923.0,7069.08,Medium Value
13985.0,7060.13,Medium Value
14961.0,7044.68,Medium Value
12766.0,6989.63,Medium Value
12798.0,6977.04,Medium Value
12989.0,6924.110000000001,Medium Value
13027.0,6912.0,Medium Value
16187.0,6911.4400000000005,Medium Value
16713.0,6910.78,Medium Value
17416.0,6893.42,Medium Value
12705.0,6868.29,Medium Value
12476.0,6816.42,Medium Value
12830.0,6814.64,Medium Value
