Country,Revenue
Australia,137009.77
Austria,10154.32
Bahrain,548.4
Belgium,40910.96
Brazil,1143.6
Canada,3666.38
Channel Islands,20076.39
Cyprus,12858.76
Czech Republic,707.72
Denmark,18768.14
EIRE,262993.38
European Community,1291.75
Finland,22326.74
France,197317.11
Germany,221509.47
Greece,4710.52
Hong Kong,9908.24
Iceland,4310.0
Israel,7901.97
Italy,16890.51
Japan,35340.62
Lebanon,1693.88
Lithuania,1661.06
Malta,2505.47
Netherlands,284661.54
Norway,35163.46
Poland,7213.14
Portugal,29302.97
RSA,1002.3100000000001
Saudi Arabia,131.17
Singapore,9120.39
Spain,54756.03
Sweden,36585.41
Switzerland,56363.05
USA,1730.92
United Arab Emirates,1902.28
United Kingdom,8189252.304
Unspecified,4740.94
